D261,Vanessa,Rippburger,(454)-040-7568,2l2Q6P7wM8@yahoo.com,DS55
D349,Valeria,Hagger,(845)-534-8790,DsjrT@icloud.com,DS466
D480,Ariadne,Heathorn,(456)-010-4888,gcaA14Xx8FOSiyjV@yahoo.com,DS432
D486,Arleen,Lourae,(530)-332-3331,Wm701xXea@aol.com,DS16
D351,Lynnet,Wicklands,(030)-237-5140,vN3QK@rit.edu,DS113
D390,Em,Croylands,(393)-275-1227,6zS39LwAVz3V@gmail.com,DS308
D11,Fayre,Fallway,(022)-940-1736,tmRZWG5yPlSJbX@gmail.com,DS57
D376,Gertrudis,Hilbar,(986)-937-2370,L1gPNwWi@yahoo.com,DS27
D131,Marcelle,Blackall,(650)-431-6660,neOmp85lftTp@rit.edu,DS296
D106,Carlina,Barrley,(403)-420-9048,sqkXiwYPvK@aol.com,DS177
D249,Lonee,Masten,(342)-717-5066,wsqzkTEMDm2zOD2@rit.edu,DS194
D487,Chere,Childerley,(570)-908-1937,SzPUa@rit.edu,DS304
D496,Patricia,Hewetson,(506)-024-5886,1SYP6@yahoo.com,DS210
D113,Isahella,Carolynn,(786)-199-2443,vBzDWBGxnPh2EwFu@yahoo.com,DS41
D150,Yolanthe,Rittenhouse,(799)-994-4302,2xMo5V@rit.edu,DS294
D393,Corella,Burshire,(612)-276-3059,R4jcXv3ngCyxtI@yahoo.com,DS55
D103,Cherie,Jollyman,(016)-398-7773,w19fC@icloud.com,DS466
D301,Robbyn,Creston,(511)-716-5735,8ZMTRu@gmail.com,DS432
D100,Elisabeth,Feltes,(761)-390-6290,mdQlnBw@gmail.com,DS16
D217,Joellyn,Dolesden,(232)-201-6923,Yzwyx@aol.com,DS113
D296,Eleen,Petes,(848)-896-9416,IUiE7@icloud.com,DS308
D262,Maggy,Camaritas,(250)-945-0647,i2C2XseWTms@gmail.com,DS57
D108,Joane,Burard,(476)-628-2089,PKfruzdmoia3A@gmail.com,DS27
D2,Farah,Loyalton,(689)-448-9520,E8mbxsFVkO3tpK@rit.edu,DS296
D339,Lizbeth,Cozine,(387)-085-8003,5BxB3lm13ciDI8@gmail.com,DS177
D25,Ceciley,Vinewood,(323)-530-3128,egNHZNtA6cnJcr8I@rit.edu,DS194
D85,Tomasina,Georgeham,(653)-663-9255,s4fp4C@aol.com,DS304
D322,Andee,Leys,(456)-503-7466,B7HK@yahoo.com,DS210
D230,Gloriana,Judi,(120)-365-5269,3t6fItmUN@yahoo.com,DS41
D365,Joyce,Burgandy,(721)-788-4544,AN51rhNIlJaU5V@gmail.com,DS294
D219,Jania,Cowbarn,(567)-313-6163,Nypv@rit.edu,DS55
D468,Olimpia,Tennent,(546)-615-0465,hfYtQIaQHxIv4qW@gmail.com,DS466
D89,Zaneta,Balham,(738)-570-7943,kLCPcVpI@yahoo.com,DS432
D140,Kathleen,Schallenberger,(474)-650-4398,Z0lMTBll52OUm@aol.com,DS16
D121,Augustina,Tolenas,(136)-756-8743,rOMgfdGkrfPR1Rw5@rit.edu,DS113
D163,Jacquenetta,Pau,(448)-506-1571,AuHGx7sej0I0@aol.com,DS308
D60,Maren,Greenbrook,(326)-490-0743,vFVfa3IKceJwRZV@aol.com,DS57
D304,Bibby,Hoagland,(389)-435-6356,3UocvRowpLw8Inn2@icloud.com,DS27
D354,Danika,Kuntz,(292)-675-2616,JKOxgqj@icloud.com,DS296
D128,Aile,Fredbert,(813)-239-4657,QxlbdVM@icloud.com,DS177
D88,Roselle,Maryfield,(864)-919-7868,169LR@aol.com,DS194
D221,Danna,Oakengrove,(728)-091-5209,igZRh8x1J0wBi7Q@rit.edu,DS304
D300,Ginny,Cammarlie,(292)-679-2178,TiiS7TMJ@gmail.com,DS210
D237,Kayle,Golfview,(188)-334-6567,sKTG9@aol.com,DS41
D82,Bellina,Delmas,(813)-116-7785,qY1G8T3QGESZu@yahoo.com,DS294
D197,Celestia,Knottocks,(031)-678-2505,MiGnTS@aol.com,DS55
D49,Cass,Orson,(318)-258-2141,2SReo78bGifmV@yahoo.com,DS466
D272,Rene,Tootal,(213)-915-9782,At0PQRKGzH6K@icloud.com,DS432
D114,Demetria,Alcova,(490)-979-9294,8wA1s9z2I3@icloud.com,DS16
D254,Ninetta,Shooters,(396)-224-0442,W1aj@icloud.com,DS113
D412,Dayle,Stoddard,(658)-074-7142,PlhYJoLu4w@yahoo.com,DS308
